TextoExtraido,NombreEstimado,FechaEstimada,TotalEstimado,Categoria
"Walmart Escazu S.A. Fecha: 03/06/2025 Total: ¢35.400 Gracias por su compra","Walmart Escazú","2025-06-03",35400,"Supermercado"
"STARBUCKS MULTIPLAZA - 01-06-2025 - TOTAL ₡3,800","Starbucks Multiplaza","2025-06-01",3800,"Cafetería"
"Factura Uber Eats 05.06.2025 Monto total: 9200 colones","Uber Eats","2025-06-05",9200,"Comida rápida"
"FARMACIA FISCHEL CURRIDABAT Fecha: 30/05/2025 Total ₡12,150.00","Farmacia Fischel","2025-05-30",12150,"Salud"
"Repretel Online Store - Fecha: 02/06/2025 - Total: ¢28.990","Repretel Online Store","2025-06-02",28990,"Tecnología"
"MAXI PALI Alajuela 06/06/2025 ₡21,700.00","Maxi Palí Alajuela","2025-06-06",21700,"Supermercado"
"K.F.C. PLAZA LINCOLN 29-05-25 TOTAL: ₡5600","KFC Plaza Lincoln","2025-05-29",5600,"Comida rápida"
"Libreria Universal S.A. Fecha: 2025/06/04 Total a pagar: ₡4.320","Librería Universal","2025-06-04",4320,"Educación"
"CINEPOLIS TERRAMALL - Entradas 2x - ₡7.600 - Fecha 05/06/25","Cinepolis Terramall","2025-06-05",7600,"Entretenimiento"
"Estación Uno Curridabat - Fecha 03-06-2025 - Monto: ¢18,700.00","Gasolinera Uno Curridabat","2025-06-03",18700,"Transporte"
"Amazon Marketplace - 01/06/2025 - ₡15,400.00","Amazon Marketplace","2025-06-01",15400,"Tecnología"
"Soda La Esquina - ₡2.500 Fecha: 04/06/2025","Soda La Esquina","2025-06-04",2500,"Comida rápida"
"CLINICA SANTA PAULA - ₡22.100 - Fecha 31-05-2025","Clínica Santa Paula","2025-05-31",22100,"Salud"
"Office Depot CR - ₡8.950 - 06-06-2025","Office Depot","2025-06-06",8950,"Oficina"
"Shoexpress SAN PEDRO 02-06-2025 ₡13.200,00 Gracias por su compra","Shoexpress San Pedro","2025-06-02",13200,"Ropa y calzado"
